name,rg,efficiency,smiles,output_dir
Batch_Encapsulation,19.846278,50.0,CCOCCO,/mnt/d_drive/programs/proteus/output/Batch_Encapsulation
Batch_Ethanol,1.1697777,,CCO,/mnt/d_drive/programs/proteus/output/Batch_Ethanol
Batch_Propanol,1.4170634,,CCCO,/mnt/d_drive/programs/proteus/output/Batch_Propanol
