name,rg,efficiency,smiles,output_dir
Batch_Ethanol,1.1781926,,CCO,/mnt/d_drive/programs/proteus/output/Batch_Ethanol
Batch_Propanol,1.4514098,,CCCO,/mnt/d_drive/programs/proteus/output/Batch_Propanol
Batch_Encapsulation,23.970099,100.0,CCOCCO,/mnt/d_drive/programs/proteus/output/Batch_Encapsulation
